trial,balanced_beta_0,balanced_beta_0.25,balanced_beta_0.5,balanced_beta_1,balanced_beta_2,balanced_beta_4,balanced_beta_8,center_hits,center_success
0,2.3283064365386963e-10,2.1329948394572689e-10,1.9282803263446097e-10,1.5145097755259337e-10,7.982957809973087e-11,1.2120624771655995e-11,3.427230168316859e-14,0,2.3101808000996357e-10
1,2.3283064365386963e-10,2.3959989607377595e-10,2.4315828651682273e-10,2.4021752280124853e-10,1.9875301178199329e-10,7.187244621442137e-11,9.929165677762844e-13,0,2.3101808000996357e-10
2,2.3283064365386963e-10,2.584102294099834e-10,2.8284064829931266e-10,3.25039467244103e-10,3.6397608855929815e-10,2.4119162097857447e-10,1.1183325304448602e-11,0,2.3101808000996357e-10
3,2.3283064365386963e-10,2.5582068246037313e-10,2.7654078495380407e-10,3.077896659785953e-10,3.144667274455368e-10,1.5692094557153895e-10,3.1112388994364733e-12,0,2.3101808000996357e-10
4,2.3283064365386963e-10,2.5208202735241667e-10,2.685608295313364e-10,2.904740229359363e-10,2.8084098304149297e-10,1.2665383103879417e-10,2.1418798173786338e-12,0,2.3101808000996357e-10
5,2.3283064365386963e-10,2.9181334834387355e-10,3.6040233751648585e-10,5.260835795067751e-10,9.417543101204213e-10,1.5429232595928583e-09,3.999243740433673e-10,0,2.3101808000996357e-10
6,2.3283064365386963e-10,2.272204293003727e-10,2.1761721415820902e-10,1.8870676557696352e-10,1.1367399496690879e-10,1.7750053703257714e-11,2.5831282918351654e-14,0,2.3101808000996357e-10
7,2.3283064365386963e-10,2.692382917341265e-10,3.0679878299296487e-10,3.8123859287444745e-10,4.945965722695703e-10,4.2553768689109363e-10,3.031507554258799e-11,0,2.3101808000996357e-10
8,2.3283064365386963e-10,2.3278264741374833e-10,2.2931739127827309e-10,2.1290527282916e-10,1.5399835651223166e-10,4.097903921779078e-11,2.740401347822765e-13,0,2.3101808000996357e-10
9,2.3283064365386963e-10,2.816177455200879e-10,3.358444989046653e-10,4.578375156495915e-10,7.193546155665698e-10,9.273904635828259e-10,1.552234604216102e-10,0,2.3101808000996357e-10
10,2.3283064365386963e-10,2.447664530907242e-10,2.532397775443337e-10,2.5844055388137277e-10,2.2286143229432435e-10,8.046400545597997e-11,8.864705034255362e-13,0,2.3101808000996357e-10
11,2.3283064365386963e-10,2.4017979275356467e-10,2.438334938170568e-10,2.395812343282029e-10,1.9146777973183743e-10,5.931163902650457e-11,4.758311693312626e-13,0,2.3101808000996357e-10
12,2.3283064365386963e-10,2.256006126546885e-10,2.1537028798857626e-10,1.8774107407975172e-10,1.195980248038959e-10,2.4563043899147186e-11,9.491558245769919e-14,0,2.3101808000996357e-10
13,2.3283064365386963e-10,2.3268673359483783e-10,2.2890892460585245e-10,2.1133984725005022e-10,1.4949157655552224e-10,3.6543500513789694e-11,1.8456942514008787e-13,0,2.3101808000996357e-10
14,2.3283064365386963e-10,2.672416310300507e-10,3.028778998990334e-10,3.745668242387646e-10,4.92867658192199e-10,4.765461168356086e-10,5.6274307569926804e-11,0,2.3101808000996357e-10
15,2.3283064365386963e-10,2.8853583621523753e-10,3.522130937226031e-10,5.016542389402474e-10,8.509062631645608e-10,1.227778940492134e-09,2.2954918277794983e-10,0,2.3101808000996357e-10
16,2.3283064365386963e-10,2.4928073504617866e-10,2.62646305091049e-10,2.7790754261939286e-10,2.5735228750026754e-10,1.066265305873359e-10,1.5103025464227155e-12,0,2.3101808000996357e-10
17,2.3283064365386963e-10,2.5875509599680673e-10,2.8307183808462613e-10,3.231809198096982e-10,3.4955520126909803e-10,1.9965731421629364e-10,5.472636166581613e-12,0,2.3101808000996357e-10
18,2.3283064365386963e-10,2.6690607165860955e-10,3.017663854813035e-10,3.7010116345637863e-10,4.724424854944479e-10,4.082975887938414e-10,3.268486517946189e-11,0,2.3101808000996357e-10
19,2.3283064365386963e-10,2.5196834367244354e-10,2.691872808846186e-10,2.9560858383681157e-10,3.0589776584327757e-10,1.8109381083558304e-10,7.747059873249048e-12,0,2.3101808000996357e-10
20,2.3283064365386963e-10,2.778504355299458e-10,3.2632385635494095e-10,4.291281200288463e-10,6.143743540677876e-10,6.107304320788214e-10,5.049381721467198e-11,0,2.3101808000996357e-10
21,2.3283064365386963e-10,2.543704530622275e-10,2.7323077433608285e-10,2.996652161270998e-10,2.9500380606522526e-10,1.33019733993092e-10,2.0154856619334688e-12,0,2.3101808000996357e-10
22,2.3283064365386963e-10,2.051502009977844e-10,1.78005676344221e-10,1.279982087384274e-10,5.517667056340899e-11,5.0980136616065824e-12,3.881770749873662e-15,0,2.3101808000996357e-10
23,2.3283064365386963e-10,2.0655099457569102e-10,1.8063157502113897e-10,1.3234567733350735e-10,5.994488535711539e-11,6.3830883198723775e-12,7.26210648125083e-15,0,2.3101808000996357e-10
