name,selector_k,selector,field_modulus,rank_modulus,weight,block_length,partition_size,trials,pair_slope,pair_r_squared,base_support,base_rank,support,support_se,support_gain_bits,rank,success,success_se,gain_bits,mixed_expected_work_gain_bits,mixed_alpha,weighted_expected_work_gain_bits,weighted_beta,weighted_half_success_gain_bits,weighted_half_beta,seconds,seed
t2-L4,1,marginal,3,65537,2,4,2,256,-0.500388661,0.985829221,0.062500000,1.000000000,0.104877882,0.001053100,0.746782356,1.000000000,0.104877882,0.001053100,0.746782356,0.062881679,0.10,0.080290318,1.00,0.212651193,2.00,1.726175,20260810
t2-L4,1,pair,3,65537,2,4,2,256,-0.500388661,0.985829221,0.062500000,1.000000000,0.105039291,0.001088579,0.749000991,1.000000000,0.105039291,0.001088579,0.749000991,0.030751163,0.10,0.060471812,1.00,0.195388629,2.00,1.726175,20260810
t2-L4,1,joint,3,65537,2,4,2,256,-0.500388661,0.985829221,0.062500000,1.000000000,0.118591051,0.000821107,0.924067047,1.000000000,0.118591051,0.000821107,0.924067047,0.074698267,0.10,nan,nan,nan,nan,1.726175,20260810
t2-L4,2,marginal,3,65537,2,4,2,256,-0.262727515,0.970131171,0.062500000,1.000000000,0.081641743,0.000512027,0.385450785,1.000000000,0.081641743,0.000512027,0.385450785,0.016661008,0.05,0.026642678,1.00,0.077800151,4.00,1.681315,20260810
t2-L4,2,pair,3,65537,2,4,2,256,-0.262727515,0.970131171,0.062500000,1.000000000,0.082550057,0.000497974,0.401413022,1.000000000,0.082550057,0.000497974,0.401413022,0.020512293,0.05,0.020564572,1.00,0.058869354,2.00,1.681315,20260810
t2-L4,2,joint,3,65537,2,4,2,256,-0.262727515,0.970131171,0.062500000,1.000000000,0.089462756,0.000359077,0.517431009,1.000000000,0.089462756,0.000359077,0.517431009,0.000000000,0.00,nan,nan,nan,nan,1.681315,20260810
t2-L4,4,marginal,3,65537,2,4,2,256,-0.134121804,0.960703216,0.062500000,1.000000000,0.071846163,0.000242066,0.201054919,1.000000000,0.071846163,0.000242066,0.201054919,0.005560971,0.05,0.000000000,0.00,0.000000000,0.00,1.737750,20260810
t2-L4,4,pair,3,65537,2,4,2,256,-0.134121804,0.960703216,0.062500000,1.000000000,0.072580305,0.000247116,0.215721934,1.000000000,0.072580305,0.000247116,0.215721934,0.000000000,0.00,0.000000000,0.00,0.000000000,0.00,1.737750,20260810
t2-L4,4,joint,3,65537,2,4,2,256,-0.134121804,0.960703216,0.062500000,1.000000000,0.075569427,0.000174569,0.273946485,1.000000000,0.075569427,0.000174569,0.273946485,0.000000000,0.00,nan,nan,nan,nan,1.737750,20260810
t2-L4,8,marginal,3,65537,2,4,2,256,-0.067742276,0.954215054,0.062500000,1.000000000,0.067004772,0.000116098,0.100407659,1.000000000,0.067004772,0.000116098,0.100407659,0.000000000,0.00,0.005973749,2.00,0.016944984,4.00,1.725190,20260810
t2-L4,8,pair,3,65537,2,4,2,256,-0.067742276,0.954215054,0.062500000,1.000000000,0.067491829,0.000108300,0.110856667,1.000000000,0.067491829,0.000108300,0.110856667,0.000000000,0.00,0.005978345,2.00,0.017108590,4.00,1.725190,20260810
