mode,modulus,polys,weight,block_length,partition_size,lists,position_candidates,full_candidates,trials,seed,seconds,total_mean,total_se,total_p99,dist_mean,dist_se,dec_mean,dec_se,entropy_loss_mean,min_entropy_loss_mean,posterior_mean_log_rank_gain,search_mean_log_gain,search_expected_work_gain,base_entropy_mean,decomposition_error
prime-field,3,2,2,2,2,8,16,256,2048,20260831,1.591705,0.102174993,0.013188886,1.310381241,0.018339611,0.006881466,0.083835382,0.011135823,0.094037175,0.468366772,0.339363530,0.659241641,0.299764297,1.909076837,1.388e-17
prime-field,3,2,2,3,2,8,81,1296,512,20260832,1.993514,0.240810146,0.034038682,1.910431683,0.122005787,0.024583738,0.118804360,0.023718799,0.114875651,0.447810463,0.313319667,1.146763110,0.520269019,1.300316022,1.388e-17
prime-field,3,2,2,4,2,8,256,4096,128,20260833,1.677336,0.177494896,0.081305168,1.988983670,0.131083081,0.069161511,0.046411815,0.037536481,0.059563789,0.199572069,0.141225795,1.200483932,0.445590317,0.519020215,-6.939e-18
prime-field,3,2,2,3,3,8,81,1296,512,20260834,2.172994,0.082701292,0.028693891,1.429929083,0.001014307,0.019570083,0.081686984,0.020326039,0.079339123,0.371677409,0.263082415,0.784511894,0.300914290,1.267554261,0.000e+00
prime-field,3,2,2,3,4,8,81,1296,512,20260835,2.150621,0.104931481,0.024249500,1.112009351,0.052448341,0.017410325,0.052483140,0.017709479,0.064329381,0.319748570,0.223439157,0.830722490,0.352804847,1.243606033,-6.939e-18
prime-field,3,2,2,3,8,8,81,1296,512,20260836,2.370369,0.073150383,0.017147597,0.776017447,0.005874599,0.013042134,0.067275784,0.013119265,0.034741059,0.242957982,0.252837038,0.706779000,0.278317247,1.243285368,1.388e-17
prime-field,5,2,2,2,2,8,16,4096,128,20260837,1.035270,0.121035279,0.050413447,1.161234981,0.028710986,0.019122566,0.092324292,0.048286184,0.097902521,0.571389136,0.515332904,0.726441111,0.320933933,2.738906818,1.388e-17
prime-field,3,2,3,2,3,12,64,4096,128,20260838,1.291580,0.246267910,0.070286112,2.126488123,0.054378600,0.028432310,0.191889310,0.063875807,0.189791814,0.771805663,0.531860446,1.054417054,0.485634923,2.626628842,0.000e+00
prime-field,3,3,2,2,2,18,64,4096,128,20260839,1.588257,0.148460425,0.080298976,2.005668868,-0.012697537,0.009571235,0.161157961,0.079519869,0.280963592,1.416902786,0.942065014,0.960444478,0.411573644,5.686461640,0.000e+00
prime-field,3,4,2,2,2,32,256,65536,8,20260840,1.798027,0.751543149,0.499573403,1.889917746,-0.008165706,0.009113995,0.759708855,0.502194527,0.403843152,1.948430731,2.437931891,2.341905100,0.923475508,9.675828334,0.000e+00
