mode,polys,weight,block_length,partition_size,lists,candidates,trials,seed,seconds,total_mean,total_se,total_p99,dist_mean,dist_se,dist_p99,dec_mean,dec_se,dec_p99,entropy_loss_mean,entropy_loss_se,min_entropy_loss_mean,min_entropy_loss_se,rank_gain_mean,rank_gain_se,search_mean_log_gain,search_mean_log_gain_se,search_expected_work_gain,base_entropy_mean,posterior_entropy_mean,decomposition_error
binary-unit,2,2,2,2,8,16,4096,20260803,1.807956,0.133139407,0.009320726,1.356143810,0.053278770,0.006283126,0.981748295,0.079860637,0.006824078,1.054702630,0.073697165,0.001451176,0.350457289,0.004500686,0.260501512,0.008973313,0.698482336,0.017230895,0.335500428,1.501220703,1.427523538,1.388e-17
binary-unit,2,2,3,2,8,81,2048,20260804,3.889168,0.196581534,0.016680130,1.699666463,0.058818087,0.010078847,1.079523556,0.137763446,0.012863649,1.278326731,0.131956756,0.002723023,0.541248230,0.006837558,0.380447427,0.015060850,1.068275914,0.033825113,0.473417267,1.733998910,1.602042154,2.776e-17
binary-unit,2,2,4,2,8,256,1024,20260805,6.555904,0.260331051,0.025703852,1.934888451,0.100985721,0.017689331,1.422946313,0.159345330,0.018213559,1.353395060,0.135626690,0.004556198,0.507276189,0.010683447,0.367086044,0.019880658,1.239020272,0.052281885,0.560682474,1.462388641,1.326761951,0.000e+00
binary-unit,2,2,5,2,8,625,512,20260806,7.681182,0.245723724,0.038018303,2.067168549,0.176888573,0.029322562,1.818162168,0.068835152,0.022302752,1.059117103,0.098798571,0.006041108,0.350378853,0.015196148,0.203723024,0.022520506,1.269321571,0.077813594,0.568325513,0.945063679,0.846265108,1.388e-17
binary-unit,2,2,6,2,8,1296,256,20260807,8.702620,0.304045492,0.051185153,2.218810740,0.240489101,0.045078773,1.794123872,0.063556391,0.024973175,1.120295966,0.068984760,0.008128034,0.228499995,0.019529178,0.131321937,0.024473409,1.355189947,0.109819282,0.650876101,0.574665186,0.505680426,2.776e-17
binary-unit,2,2,8,2,8,4096,64,20260808,7.121098,0.170845144,0.107725341,2.062165029,0.164645366,0.108773488,2.062165029,0.006199778,0.019241565,0.575232480,0.008055061,0.004753786,0.034794700,0.016888983,0.025965283,0.026036165,1.117178296,0.213419537,0.482406037,0.109375000,0.101319939,5.204e-18
binary-unit,2,2,4,3,8,256,1024,20260809,6.702089,0.138451936,0.022414386,1.547750693,0.047213048,0.015381703,1.071148992,0.091238888,0.016624404,1.148421761,0.105702766,0.003594429,0.454600862,0.009728276,0.320633145,0.020013166,1.023031985,0.051716343,0.394996167,1.460107049,1.354404283,0.000e+00
binary-unit,2,2,4,4,8,256,1024,20260810,7.287664,0.132145378,0.019108787,1.363204008,0.077422090,0.013042155,1.028192342,0.054723288,0.014598026,1.010116174,0.079480396,0.002748867,0.390121055,0.008662100,0.254130756,0.019469523,0.976884676,0.049513147,0.389607050,1.479716494,1.400236098,6.939e-18
binary-unit,2,2,4,8,8,256,1024,20260811,8.285196,0.068118074,0.014011889,0.842723293,0.036006775,0.009052114,0.623757679,0.032111299,0.010958656,0.741001110,0.042969684,0.001548082,0.288334959,0.006391322,0.226484700,0.018532759,0.775804671,0.044966688,0.269182978,1.473301541,1.430331857,-6.939e-18
binary-unit,2,3,2,3,12,64,2048,20260812,5.642329,0.247524153,0.017527293,1.973286409,0.125361668,0.012385151,1.553296633,0.122162485,0.012223255,1.383462958,0.129141680,0.003589988,0.479872165,0.008345257,0.316692896,0.014184236,1.131151200,0.033971693,0.526559620,1.480468750,1.351327070,0.000e+00
binary-unit,2,3,3,3,12,729,256,20260813,7.956135,0.581841774,0.067872318,2.882553558,0.276202315,0.046414382,2.090167281,0.305639459,0.048596129,1.730025464,0.334950538,0.017571768,0.852993443,0.028600528,0.521851657,0.043935766,1.813465480,0.125212229,0.914296552,1.824650782,1.489700244,0.000e+00
binary-unit,2,4,2,4,16,256,512,20260814,7.659119,0.266597958,0.035935956,2.042024979,0.100093974,0.022869206,1.327274328,0.166503984,0.026355388,1.447176021,0.147151667,0.007185547,0.596603035,0.018941155,0.460091050,0.034347214,1.295075447,0.078492915,0.554816031,1.837890625,1.690738958,-2.776e-17
binary-unit,3,2,2,2,18,64,1024,20260815,3.496856,0.261984607,0.026951149,2.042806801,0.066153712,0.012018126,1.071041513,0.195830895,0.024009730,1.710355951,0.233921444,0.005349970,0.964931859,0.013666279,0.710002410,0.030874090,1.125996019,0.045554445,0.562872156,3.257812500,3.023891056,0.000e+00
binary-unit,4,2,2,2,32,256,256,20260816,5.569532,0.558276560,0.073887235,2.728421470,0.053257099,0.023673206,0.936832357,0.505019462,0.069105212,2.704300257,0.456516955,0.016437295,1.743529813,0.035197539,1.383424839,0.087444685,1.729251341,0.114121822,0.901517260,5.101562500,4.645045545,0.000e+00
