name,selector,t,d,K,kl_bits_per_list,tv_per_list,pair_chernoff_per_list,search_gain_bits,cost_ratio,cost_ratio_to_t16_d16,debias_ots,total_ots
raw,raw,16,16/32,1,0.6429284538654235,0.3756506530099271,0.36532296243377815,97.3158058030171,1.0,1.7854095563139931,0,6428160
exact-K2,inverse-Z,16,16/32,2,0.3349236877615448,0.2728134099612655,0.2030906913253883,55.29856826051444,1.8790123456790124,3.354806598407281,5650432,12078592
occupancy-K2,inverse-E[Z|D],16,16/32,2,0.356490104955723,0.2823521204754742,0.2151391570844347,58.42864346104875,1.2437275985663083,2.2205631399317407,1566720,7994880
moments-K2,"inverse-E[Z|D,C2]",16,16/32,2,0.3530062756293842,0.28125576622524256,0.21330376138370072,57.95163970290559,1.2437275985663083,2.2205631399317407,1566720,7994880
exact-K4,inverse-Z,16,16/32,4,0.17773644559112936,0.18924318050169783,0.11196076870883416,31.488968068983276,2.81489446435683,5.025739476678043,11666432,18094592
occupancy-K4,inverse-E[Z|D],16,16/32,4,0.2204715737058437,0.21615735590648547,0.135680286232845,37.72606288962531,1.5443249701314217,2.7572525597269624,3499008,9927168
moments-K4,"inverse-E[Z|D,C2]",16,16/32,4,0.21403568533525905,0.2126070595419498,0.13232154901046925,36.84157714258577,1.5443249701314217,2.7572525597269624,3499008,9927168
exact-K8,inverse-Z,16,16/32,8,0.09684932571653845,0.12742353661606276,0.06366468665163996,18.629372922300874,4.6866587017124655,8.367605233219567,23698432,30126592
occupancy-K8,inverse-E[Z|D],16,16/32,8,0.1583124515352074,0.1775345502569565,0.09743344178995411,27.67397259789716,2.1455197132616486,3.830631399317406,7363584,13791744
moments-K8,"inverse-E[Z|D,C2]",16,16/32,8,0.15023198455316494,0.17134964181679496,0.09310661051028461,26.524072838585358,2.1455197132616486,3.830631399317406,7363584,13791744
feasible-limit,U|Z>0,16,16/32,0,0.013262879604434825,0.009150999999999656,0.013262879604397829,3.395297178725844,1.0,1.7854095563139931,0,6428160
