name,selector,t,d,K,kl_bits_per_list,tv_per_list,pair_chernoff_per_list,search_gain_bits,cost_ratio,cost_ratio_to_t16_d16,debias_ots,total_ots
raw,raw,16,16/16,1,1.052163064641067,0.47638416060045935,0.6354458047136917,166.7816347045032,1.0,1.0,0,3600384
exact-K2,inverse-Z,16,16/16,2,0.6279644852481184,0.3777728106806491,0.41283034039987676,109.38168077090891,2.4569112627986347,2.4569112627986347,5245440,8845824
occupancy-K2,inverse-E[Z|D],16,16/16,2,0.6713152465175766,0.39067807772320895,0.4360648092998761,115.38253143923224,1.2919510807736063,1.2919510807736063,1051136,4651520
moments-K2,"inverse-E[Z|D,C2]",16,16/16,2,0.6636589143146577,0.3883729192305452,0.4326063608804164,114.48620330389433,1.2919510807736063,1.2919510807736063,1051136,4651520
exact-K4,inverse-Z,16,16/16,4,0.3911743818302346,0.2908266110067776,0.2740067093057536,73.43010253390064,3.9416951080773606,3.9416951080773606,10591232,14191616
occupancy-K4,inverse-E[Z|D],16,16/16,4,0.4761726116476745,0.32466508424487767,0.3196711862971645,85.2930484936003,1.6117747440273038,1.6117747440273038,2202624,5803008
moments-K4,"inverse-E[Z|D,C2]",16,16/16,4,0.462445854378859,0.3194142782200453,0.31236909936511786,83.39755950548161,1.6117747440273038,1.6117747440273038,2202624,5803008
exact-K8,inverse-Z,16,16/16,8,0.25673919124565703,0.21999581474667565,0.19201984756420848,52.00695745299416,6.911973833902161,6.911973833902161,21285376,24885760
occupancy-K8,inverse-E[Z|D],16,16/16,8,0.3796784666924749,0.2830597859797861,0.25877087246170155,69.4865592002616,2.2521331058020477,2.2521331058020477,4508160,8108544
moments-K8,"inverse-E[Z|D,C2]",16,16/16,8,0.3603139804501566,0.27378634476174296,0.24811005447641704,66.70900496874252,2.2521331058020477,2.2521331058020477,4508160,8108544
feasible-limit,U|Z>0,16,16/16,0,0.0925893584807156,0.062162000000001154,0.09258935848076674,23.702875771076286,1.0,1.0,0,3600384
