family,seed,t,d,K,particles,moves,replicate,kl_loss,renyi2_loss,shannon_remaining,collision_remaining,min_ess,acceptance
goldreich,251,16,16,1,1024,4,0,44.923518,51.161342,147.076482,140.838658,0.1282,0.1340
goldreich,251,16,16,1,1024,4,1,51.477070,56.434703,140.522930,135.565297,0.1287,0.1360
goldreich,251,16,16,1,1024,4,2,45.420379,57.706551,146.579621,134.293449,0.1367,0.1426
goldreich,251,16,16,1,1024,4,3,47.064216,57.762529,144.935784,134.237471,0.1603,0.1395
goldreich,252,16,16,1,1024,4,0,47.049536,54.747191,144.950464,137.252809,0.0760,0.1447
goldreich,252,16,16,1,1024,4,1,37.643903,44.132932,154.356097,147.867068,0.1423,0.1378
goldreich,251,16,16,2,512,3,0,27.597761,36.314907,164.402239,155.685093,0.3738,0.2254
goldreich,251,16,16,2,512,3,1,23.087108,34.815347,168.912892,157.184653,0.4321,0.2239
goldreich,251,16,16,2,512,3,2,25.819787,36.947996,166.180213,155.052004,0.1312,0.2157
goldreich,251,16,16,2,512,3,3,26.719348,33.010904,165.280652,158.989096,0.4600,0.2205
goldreich,252,16,16,2,512,3,0,26.348572,32.151716,165.651428,159.848284,0.2728,0.2189
goldreich,252,16,16,2,512,3,1,28.284747,32.170691,163.715253,159.829309,0.4670,0.2150
goldreich,251,16,16,4,512,3,0,19.884114,28.132606,172.115886,163.867394,0.5453,0.2264
goldreich,251,16,16,4,512,3,1,23.090203,29.967463,168.909797,162.032537,0.4753,0.2205
goldreich,251,16,16,4,512,3,2,25.879431,30.843849,166.120569,161.156151,0.5883,0.2159
goldreich,251,16,16,4,512,3,3,20.093678,29.159267,171.906322,162.840733,0.4982,0.2219
goldreich,252,16,16,4,512,3,0,21.047868,26.728027,170.952132,165.271973,0.4682,0.2196
goldreich,252,16,16,4,512,3,1,21.129093,28.433526,170.870907,163.566474,0.5717,0.2226
goldreich,251,16,16,8,512,3,0,22.424895,28.013556,169.575105,163.986444,0.4610,0.1800
goldreich,251,16,16,8,512,3,1,23.660919,26.760204,168.339081,165.239796,0.4707,0.1786
goldreich,251,16,16,8,512,3,2,24.071088,31.099336,167.928912,160.900664,0.3578,0.1796
goldreich,251,16,16,8,512,3,3,28.082810,36.082212,163.917190,155.917788,0.3855,0.1832
ideal,251,16,16,1,1024,4,0,52.875125,60.469198,139.124875,131.530802,0.0111,0.1357
ideal,251,16,16,1,1024,4,1,51.598971,59.023453,140.401029,132.976547,0.1247,0.1354
ideal,251,16,16,1,1024,4,2,40.072179,62.189247,151.927821,129.810753,0.1829,0.1343
ideal,251,16,16,1,1024,4,3,49.783853,57.574051,142.216147,134.425949,0.0600,0.1318
ideal,251,16,16,2,512,3,0,38.924059,42.803000,153.075941,149.197000,0.2073,0.1847
ideal,251,16,16,2,512,3,1,31.677788,38.183569,160.322212,153.816431,0.1875,0.1882
ideal,251,17,17,1,256,3,0,58.134035,62.739146,145.865965,141.260854,0.0886,0.1466
ideal,251,17,17,1,256,3,1,62.907138,73.264990,141.092862,130.735010,0.0971,0.1460
ideal,252,17,17,1,256,3,0,53.138942,61.215750,150.861058,142.784250,0.0432,0.1374
ideal,252,17,17,1,256,3,1,52.598360,55.930856,151.401640,148.069144,0.0329,0.1425
ideal,251,18,18,1,256,3,0,54.143987,60.122687,161.856013,155.877313,0.0141,0.1297
ideal,251,18,18,1,256,3,1,44.043492,54.036199,171.956508,161.963801,0.0533,0.1590
ideal,252,18,18,1,256,3,0,61.120421,68.269530,154.879579,147.730470,0.0628,0.1287
ideal,252,18,18,1,256,3,1,59.168268,69.425401,156.831732,146.574599,0.0448,0.1419
