experiment,distribution,n,w,d,trials,failures,failure_rate,ci95_low,ci95_high,kl_bits,kl_stderr,tv,q01_info,q05_info,q50_info,q95_info,q99_info,seed
current-failure,uniform,16,2,16,4194304,260172,0.062029838562011719,0.061799398429629282,0.062261080945637245,,,,,,,,,10
current-failure,uniform,64,2,64,4194304,421677,0.10053563117980957,0.10024821063188645,0.10082378344604291,,,,,,,,,11
current-failure,uniform,128,2,128,4194304,485603,0.11577677726745605,0.1154709258349061,0.11608333250036777,,,,,,,,,12
current-size-bias,real,16,2,16,1048576,0,0,0,3.663487193640643e-06,1.0487231236928707,0.0014287842065644223,0.47551591437325536,-3.02080575969892,-1.605768260420076,1.1718393182434763,3.1718393182434763,3.7568018189646324,2
current-size-bias,real,64,2,64,1048576,0,0,0,3.663487193640643e-06,4.6128388698998393,0.0029781697902108166,0.83126258086090488,-3.2600398097609471,-0.66244970071204534,4.7799084045663065,9.3269030550884366,11.004974960201075,20
current-size-bias,real,128,2,128,1048576,0,0,0,3.663487193640643e-06,9.3698835525631097,0.0042446984714830409,0.95145206083886213,-1.5410340456622578,1.9430171823906051,9.5430865755019596,16.21129094243345,18.730933484941573,21
w3-production-ratio,uniform,16,3,8,16777216,9109,0.0005429387092590332,0.00053190580183228855,0.00055420033678979801,,,,,,,,,31
w3-production-ratio,uniform,32,3,16,16777216,506,0.000030159950256347656,0.000027644107870760991,0.000032904747566563017,,,,,,,,,32
w3-production-ratio,uniform,64,3,32,16777216,2,0.00000011920928955078125,0.000000032691487578757977,0.00000043469577293247412,,,,,,,,,33
w3-production-ratio,uniform,128,3,64,1048576,0,0,0,3.663487193640643e-06,,,,,,,,,30
w3-tail,uniform,16,3,9,8388608,533,0.000063538551330566406,0.000058368672390934104,0.000069166309443991679,,,,,,,,,209
w3-tail,uniform,16,3,10,8388608,87,0.000010371208190917969,0.0000084088850604990054,0.000012791459189756189,,,,,,,,,210
w3-tail,uniform,16,3,11,8388608,17,0.0000020265579223632812,0.0000012653433958463345,0.000003245707959953831,,,,,,,,,211
w3-tail,uniform,16,3,12,8388608,14,0.0000016689300537109375,0.00000099418869049757087,0.0000028016072555402352,,,,,,,,,212
w3-tail,uniform,16,3,14,8388608,0,0,0,0.00000045793736714680046,,,,,,,,,214
w3-threshold,uniform,128,3,44,262144,252995,0.96509933471679688,0.96438993526872907,0.96579510323102302,,,,,,,,,144
w3-threshold,uniform,128,3,48,262144,24077,0.091846466064453125,0.090746861984971477,0.092958032134423885,,,,,,,,,148
w3-threshold,uniform,128,3,52,262144,98,0.00037384033203125,0.00030679957970049265,0.00045552391573094343,,,,,,,,,152
w3-threshold,uniform,128,3,56,262144,0,0,0,0.000014653787722671592,,,,,,,,,156
w2-size-bias-slack,real,16,2,32,1048576,0,0,0,3.663487193640643e-06,0.43049454150577882,0.00099311674254049529,0.30868044694202235,-2.4606094113026469,-1.4606094113026469,0.53939058869735312,1.954428087976197,2.1243530894185092,332
w2-size-bias-slack,real,16,2,64,1048576,0,0,0,3.663487193640643e-06,0.19953511718679862,0.00069188826432613865,0.20947934707123805,-1.8344289338478816,-1.097463339681676,0.16557106615211836,0.99564606470980621,1.4106835639886501,364
w2-size-bias-slack,real,16,2,128,1048576,0,0,0,3.663487193640643e-06,0.095815642314903526,0.00048502410284825446,0.15002318878039897,-1.4027691978842594,-0.72469729277162109,0.27530270722837891,0.69034020650722283,0.69034020650722283,428
w2-size-bias-slack,real,16,2,256,1048576,0,0,0,3.663487193640643e-06,0.046439484307481134,0.0003415206260763114,0.102395384029007,-1.0734411633411316,-0.48847866261997552,-0.073441163341131599,0.34159633593771233,0.34159633593771233,556
