name,channel,selector_k,modulus,polys,weight,block_length,ring_dimension,partition_size,lists,position_candidates,full_candidates,trials,seed,seconds,conditional_information_mean,conditional_information_se,conditional_information_p99,posterior_entropy_loss_mean,posterior_min_entropy_loss_mean,mean_log_rank_gain,expected_rank_gain,support_mean_log_rank_gain,support_expected_rank_gain,base_entropy_mean
base,occupancy,1,3,2,2,2,4,2,8,16,256,4096,20260810,4.658620,0.100597939,0.007882077,1.117356951,0.096318667,0.468992559,0.359411293,0.205869899,0.700687841,0.339401056,1.877804843
base,occupancy,2,3,2,2,2,4,2,8,16,256,4096,20260810,3.787836,0.025517207,0.004564321,0.660199915,0.028807060,0.273940049,0.259978229,0.102532605,0.509135470,0.159291487,1.877804843
base,occupancy,4,3,2,2,2,4,2,8,16,256,4096,20260810,4.104209,0.007111292,0.002309203,0.339328697,0.007562130,0.144694777,0.209165946,0.054668417,0.409430147,0.088585981,1.877804843
base,occupancy,8,3,2,2,2,4,2,8,16,256,4096,20260810,4.659861,0.003183033,0.001171909,0.180471108,0.001970572,0.075368342,0.190727426,0.037674868,0.376237562,0.057571742,1.877804843
longer-block,occupancy,1,3,2,2,3,6,2,8,81,1296,1024,20260810,4.870968,0.105120573,0.017586274,1.177751889,0.117218536,0.454876799,0.308994147,0.191093419,1.138658808,0.511865949,1.325109108
longer-block,occupancy,2,3,2,2,3,6,2,8,81,1296,1024,20260810,4.760181,0.046041012,0.009396643,0.710216833,0.034099462,0.260528771,0.230773038,0.116681134,0.785284089,0.278025554,1.325109108
longer-block,occupancy,4,3,2,2,3,6,2,8,81,1296,1024,20260810,4.816366,-0.001077419,0.005136091,0.355237925,0.009303664,0.142070304,0.127561136,0.011337090,0.520564775,0.080773299,1.325109108
longer-block,occupancy,8,3,2,2,3,6,2,8,81,1296,1024,20260810,5.461041,0.003776245,0.002540809,0.209903068,0.002365408,0.073012861,0.128347373,0.017804985,0.498554833,0.081973076,1.325109108
larger-field,occupancy,1,5,2,2,2,4,2,8,16,4096,512,20260810,3.764032,0.124721926,0.023288741,1.189815596,0.110273915,0.602867483,0.509122284,0.294434615,0.753763198,0.386373016,2.783245068
larger-field,occupancy,2,5,2,2,2,4,2,8,16,4096,512,20260810,3.797691,0.026775438,0.013152854,0.672186354,0.031616604,0.334354390,0.341813045,0.106609549,0.476907930,0.139460710,2.783245068
larger-field,occupancy,4,5,2,2,2,4,2,8,16,4096,512,20260810,3.728969,0.006569263,0.007105692,0.338259639,0.008816713,0.184920336,0.284046716,0.063262369,0.380101977,0.063708488,2.783245068
larger-field,occupancy,8,5,2,2,2,4,2,8,16,4096,512,20260810,3.870503,-0.000939016,0.003370169,0.165612994,0.002015998,0.089653842,0.242552219,0.027107013,0.363974138,0.043922842,2.783245068
larger-weight,occupancy,1,3,2,3,2,6,3,12,64,4096,512,20260810,5.587338,0.215787750,0.031537551,1.747677035,0.194474681,0.805570105,0.658901298,0.388879096,1.111718616,0.533523467,2.607187426
larger-weight,occupancy,2,3,2,3,2,6,3,12,64,4096,512,20260810,5.603616,0.085338743,0.018592871,1.084488985,0.077541624,0.496126844,0.476169648,0.218865678,0.856830732,0.313068560,2.607187426
larger-weight,occupancy,4,3,2,3,2,6,3,12,64,4096,512,20260810,5.837113,0.062706607,0.011967463,0.885383499,0.045569898,0.286601992,0.385294533,0.146357052,0.751568730,0.248971005,2.607187426
larger-weight,occupancy,8,3,2,3,2,6,3,12,64,4096,512,20260810,5.956345,0.027435310,0.007675486,0.635617532,0.031727033,0.172736235,0.293900941,0.073935268,0.513141116,0.083569290,2.607187426
