trial,hidden,selector,retained,list_size,candidate_space,generated_children,exact_factor_evaluations
0,0,pair_beam,1.0,64,256,340,0
0,0,exact_rerank,1.0,64,256,340,2048
0,0,oracle_exact,1.0,64,256,256,4096
0,1,pair_beam,1.0,64,256,340,0
0,1,exact_rerank,1.0,64,256,340,2048
0,1,oracle_exact,0.0,64,256,256,4096
0,2,pair_beam,0.0,64,256,340,0
0,2,exact_rerank,0.0,64,256,340,2048
0,2,oracle_exact,1.0,64,256,256,4096
0,3,pair_beam,1.0,64,256,340,0
0,3,exact_rerank,1.0,64,256,340,2048
0,3,oracle_exact,0.0,64,256,256,4096
1,0,pair_beam,0.0,64,256,340,0
1,0,exact_rerank,0.0,64,256,340,2048
1,0,oracle_exact,0.0,64,256,256,4096
1,1,pair_beam,0.0,64,256,340,0
1,1,exact_rerank,1.0,64,256,340,2048
1,1,oracle_exact,1.0,64,256,256,4096
1,2,pair_beam,0.0,64,256,340,0
1,2,exact_rerank,0.0,64,256,340,2048
1,2,oracle_exact,0.0,64,256,256,4096
1,3,pair_beam,1.0,64,256,340,0
1,3,exact_rerank,0.0,64,256,340,2048
1,3,oracle_exact,0.0,64,256,256,4096
2,0,pair_beam,0.0,64,256,340,0
2,0,exact_rerank,0.0,64,256,340,2048
2,0,oracle_exact,0.0,64,256,256,4096
2,1,pair_beam,0.0,64,256,340,0
2,1,exact_rerank,0.0,64,256,340,2048
2,1,oracle_exact,0.0,64,256,256,4096
2,2,pair_beam,0.0,64,256,340,0
2,2,exact_rerank,0.0,64,256,340,2048
2,2,oracle_exact,0.0,64,256,256,4096
2,3,pair_beam,0.0,64,256,340,0
2,3,exact_rerank,0.0,64,256,340,2048
2,3,oracle_exact,0.0,64,256,256,4096
3,0,pair_beam,0.0,64,256,340,0
3,0,exact_rerank,1.0,64,256,340,2048
3,0,oracle_exact,1.0,64,256,256,4096
3,1,pair_beam,1.0,64,256,340,0
3,1,exact_rerank,1.0,64,256,340,2048
3,1,oracle_exact,1.0,64,256,256,4096
3,2,pair_beam,0.0,64,256,340,0
3,2,exact_rerank,0.0,64,256,340,2048
3,2,oracle_exact,0.0,64,256,256,4096
3,3,pair_beam,0.0,64,256,340,0
3,3,exact_rerank,0.0,64,256,340,2048
3,3,oracle_exact,0.0,64,256,256,4096
4,0,pair_beam,0.0,64,256,340,0
4,0,exact_rerank,0.0,64,256,340,2048
4,0,oracle_exact,0.0,64,256,256,4096
4,1,pair_beam,0.0,64,256,340,0
4,1,exact_rerank,0.0,64,256,340,2048
4,1,oracle_exact,0.0,64,256,256,4096
4,2,pair_beam,0.0,64,256,340,0
4,2,exact_rerank,1.0,64,256,340,2048
4,2,oracle_exact,1.0,64,256,256,4096
4,3,pair_beam,1.0,64,256,340,0
4,3,exact_rerank,0.0,64,256,340,2048
4,3,oracle_exact,0.0,64,256,256,4096
5,0,pair_beam,1.0,64,256,340,0
5,0,exact_rerank,1.0,64,256,340,2048
5,0,oracle_exact,1.0,64,256,256,4096
5,1,pair_beam,0.0,64,256,340,0
5,1,exact_rerank,0.0,64,256,340,2048
5,1,oracle_exact,0.0,64,256,256,4096
5,2,pair_beam,0.0,64,256,340,0
5,2,exact_rerank,0.0,64,256,340,2048
5,2,oracle_exact,0.0,64,256,256,4096
5,3,pair_beam,0.0,64,256,340,0
5,3,exact_rerank,0.0,64,256,340,2048
5,3,oracle_exact,0.0,64,256,256,4096
6,0,pair_beam,1.0,64,256,340,0
6,0,exact_rerank,1.0,64,256,340,2048
6,0,oracle_exact,1.0,64,256,256,4096
6,1,pair_beam,0.0,64,256,340,0
6,1,exact_rerank,0.0,64,256,340,2048
6,1,oracle_exact,0.0,64,256,256,4096
6,2,pair_beam,0.0,64,256,340,0
6,2,exact_rerank,0.0,64,256,340,2048
6,2,oracle_exact,1.0,64,256,256,4096
6,3,pair_beam,0.0,64,256,340,0
6,3,exact_rerank,1.0,64,256,340,2048
6,3,oracle_exact,1.0,64,256,256,4096
7,0,pair_beam,1.0,64,256,340,0
7,0,exact_rerank,1.0,64,256,340,2048
7,0,oracle_exact,1.0,64,256,256,4096
7,1,pair_beam,1.0,64,256,340,0
7,1,exact_rerank,1.0,64,256,340,2048
7,1,oracle_exact,0.0,64,256,256,4096
7,2,pair_beam,1.0,64,256,340,0
7,2,exact_rerank,1.0,64,256,340,2048
7,2,oracle_exact,1.0,64,256,256,4096
7,3,pair_beam,1.0,64,256,340,0
7,3,exact_rerank,1.0,64,256,340,2048
7,3,oracle_exact,0.0,64,256,256,4096
8,0,pair_beam,0.0,64,256,340,0
8,0,exact_rerank,0.0,64,256,340,2048
8,0,oracle_exact,0.0,64,256,256,4096
8,1,pair_beam,0.0,64,256,340,0
8,1,exact_rerank,1.0,64,256,340,2048
8,1,oracle_exact,1.0,64,256,256,4096
8,2,pair_beam,1.0,64,256,340,0
8,2,exact_rerank,1.0,64,256,340,2048
8,2,oracle_exact,0.0,64,256,256,4096
8,3,pair_beam,0.0,64,256,340,0
8,3,exact_rerank,0.0,64,256,340,2048
8,3,oracle_exact,0.0,64,256,256,4096
9,0,pair_beam,1.0,64,256,340,0
9,0,exact_rerank,1.0,64,256,340,2048
9,0,oracle_exact,1.0,64,256,256,4096
9,1,pair_beam,0.0,64,256,340,0
9,1,exact_rerank,1.0,64,256,340,2048
9,1,oracle_exact,1.0,64,256,256,4096
9,2,pair_beam,0.0,64,256,340,0
9,2,exact_rerank,0.0,64,256,340,2048
9,2,oracle_exact,0.0,64,256,256,4096
9,3,pair_beam,1.0,64,256,340,0
9,3,exact_rerank,1.0,64,256,340,2048
9,3,oracle_exact,0.0,64,256,256,4096
10,0,pair_beam,1.0,64,256,340,0
10,0,exact_rerank,1.0,64,256,340,2048
10,0,oracle_exact,0.0,64,256,256,4096
10,1,pair_beam,0.0,64,256,340,0
10,1,exact_rerank,0.0,64,256,340,2048
10,1,oracle_exact,0.0,64,256,256,4096
10,2,pair_beam,1.0,64,256,340,0
10,2,exact_rerank,1.0,64,256,340,2048
10,2,oracle_exact,1.0,64,256,256,4096
10,3,pair_beam,0.0,64,256,340,0
10,3,exact_rerank,0.0,64,256,340,2048
10,3,oracle_exact,1.0,64,256,256,4096
11,0,pair_beam,1.0,64,256,340,0
11,0,exact_rerank,1.0,64,256,340,2048
11,0,oracle_exact,1.0,64,256,256,4096
11,1,pair_beam,0.0,64,256,340,0
11,1,exact_rerank,0.0,64,256,340,2048
11,1,oracle_exact,0.0,64,256,256,4096
11,2,pair_beam,0.0,64,256,340,0
11,2,exact_rerank,0.0,64,256,340,2048
11,2,oracle_exact,0.0,64,256,256,4096
11,3,pair_beam,0.0,64,256,340,0
11,3,exact_rerank,0.0,64,256,340,2048
11,3,oracle_exact,0.0,64,256,256,4096
12,0,pair_beam,0.0,64,256,340,0
12,0,exact_rerank,0.0,64,256,340,2048
12,0,oracle_exact,0.0,64,256,256,4096
12,1,pair_beam,1.0,64,256,340,0
12,1,exact_rerank,1.0,64,256,340,2048
12,1,oracle_exact,1.0,64,256,256,4096
12,2,pair_beam,0.9333333333333333,64,256,340,0
12,2,exact_rerank,1.0,64,256,340,2048
12,2,oracle_exact,1.0,64,256,256,4096
12,3,pair_beam,0.0,64,256,340,0
12,3,exact_rerank,0.0,64,256,340,2048
12,3,oracle_exact,1.0,64,256,256,4096
13,0,pair_beam,0.0,64,256,340,0
13,0,exact_rerank,1.0,64,256,340,2048
13,0,oracle_exact,0.0,64,256,256,4096
13,1,pair_beam,0.0,64,256,340,0
13,1,exact_rerank,0.0,64,256,340,2048
13,1,oracle_exact,0.0,64,256,256,4096
13,2,pair_beam,1.0,64,256,340,0
13,2,exact_rerank,1.0,64,256,340,2048
13,2,oracle_exact,0.0,64,256,256,4096
13,3,pair_beam,0.0,64,256,340,0
13,3,exact_rerank,0.0,64,256,340,2048
13,3,oracle_exact,0.0,64,256,256,4096
14,0,pair_beam,1.0,64,256,340,0
14,0,exact_rerank,1.0,64,256,340,2048
14,0,oracle_exact,1.0,64,256,256,4096
14,1,pair_beam,0.0,64,256,340,0
14,1,exact_rerank,0.0,64,256,340,2048
14,1,oracle_exact,1.0,64,256,256,4096
14,2,pair_beam,0.0,64,256,340,0
14,2,exact_rerank,0.0,64,256,340,2048
14,2,oracle_exact,0.0,64,256,256,4096
14,3,pair_beam,1.0,64,256,340,0
14,3,exact_rerank,1.0,64,256,340,2048
14,3,oracle_exact,0.0,64,256,256,4096
15,0,pair_beam,0.3333333333333333,64,256,340,0
15,0,exact_rerank,1.0,64,256,340,2048
15,0,oracle_exact,0.0,64,256,256,4096
15,1,pair_beam,0.0,64,256,340,0
