trial,hidden,selector,retained,list_size,candidate_space,generated_children,exact_factor_evaluations
0,0,pair_beam,0.0,128,7776,3090,0
0,0,exact_rerank,0.0,128,7776,3090,5120
0,1,pair_beam,0.0,128,7776,3090,0
0,1,exact_rerank,0.0,128,7776,3090,5120
0,2,pair_beam,0.0,128,7776,3090,0
0,2,exact_rerank,0.0,128,7776,3090,5120
0,3,pair_beam,0.0,128,7776,3090,0
0,3,exact_rerank,0.0,128,7776,3090,5120
1,0,pair_beam,0.0,128,7776,3090,0
1,0,exact_rerank,0.0,128,7776,3090,5120
1,1,pair_beam,0.0,128,7776,3090,0
1,1,exact_rerank,0.0,128,7776,3090,5120
1,2,pair_beam,0.0,128,7776,3090,0
1,2,exact_rerank,0.0,128,7776,3090,5120
1,3,pair_beam,1.0,128,7776,3090,0
1,3,exact_rerank,0.0,128,7776,3090,5120
2,0,pair_beam,0.0,128,7776,3090,0
2,0,exact_rerank,0.0,128,7776,3090,5120
2,1,pair_beam,0.0,128,7776,3090,0
2,1,exact_rerank,0.0,128,7776,3090,5120
2,2,pair_beam,0.0,128,7776,3090,0
2,2,exact_rerank,0.0,128,7776,3090,5120
2,3,pair_beam,0.0,128,7776,3090,0
2,3,exact_rerank,0.0,128,7776,3090,5120
3,0,pair_beam,0.0,128,7776,3090,0
3,0,exact_rerank,0.0,128,7776,3090,5120
3,1,pair_beam,0.0,128,7776,3090,0
3,1,exact_rerank,0.0,128,7776,3090,5120
3,2,pair_beam,0.0,128,7776,3090,0
3,2,exact_rerank,0.0,128,7776,3090,5120
3,3,pair_beam,0.0,128,7776,3090,0
3,3,exact_rerank,0.0,128,7776,3090,5120
4,0,pair_beam,0.0,128,7776,3090,0
4,0,exact_rerank,0.0,128,7776,3090,5120
4,1,pair_beam,0.0,128,7776,3090,0
4,1,exact_rerank,0.0,128,7776,3090,5120
4,2,pair_beam,0.0,128,7776,3090,0
4,2,exact_rerank,0.0,128,7776,3090,5120
4,3,pair_beam,0.0,128,7776,3090,0
4,3,exact_rerank,0.0,128,7776,3090,5120
5,0,pair_beam,0.0,128,7776,3090,0
