trial,selector,candidate_scores,merge_entries,rounds,optimistic_work,recovered_planted,solution_count_lower_bound
0,uniform,1024,72521,36261,73545,1,1
0,pair,1024,47639,23820,48663,1,1
0,exact,1024,74400,37200,75424,1,1
1,uniform,1024,113721,56861,114745,1,1
1,pair,1024,26232,13116,27256,1,1
1,exact,1024,42012,21006,43036,1,1
2,uniform,1024,108169,54085,109193,1,1
2,pair,1024,87539,43770,88563,1,1
2,exact,1024,25812,12906,26836,1,1
3,uniform,1024,105501,52751,106525,1,1
3,pair,1024,22128,11064,23152,1,1
3,exact,1024,25373,12687,26397,1,1
4,uniform,1024,36295,18148,37319,1,1
4,pair,1024,18252,9126,19276,1,1
4,exact,1024,4099,2050,5123,1,1
5,uniform,1024,124083,62042,125107,1,1
5,pair,1024,36538,18269,37562,1,1
5,exact,1024,28206,14103,29230,1,1
6,uniform,1024,96956,48478,97980,1,1
6,pair,1024,113192,56596,114216,1,1
6,exact,1024,66828,33414,67852,1,1
7,uniform,1024,81208,40604,82232,1,1
7,pair,1024,87573,43787,88597,1,1
7,exact,1024,26489,13245,27513,1,1
8,uniform,1024,105082,52541,106106,1,1
8,pair,1024,96858,48429,97882,1,1
8,exact,1024,96170,48085,97194,1,1
9,uniform,1024,121593,60797,122617,1,1
9,pair,1024,55531,27766,56555,1,1
9,exact,1024,40588,20294,41612,1,1
10,uniform,1024,97651,48826,98675,1,1
10,pair,1024,56947,28474,57971,1,1
10,exact,1024,19927,9964,20951,1,1
11,uniform,1024,82777,41389,83801,1,1
11,pair,1024,51271,25636,52295,1,1
11,exact,1024,46326,23163,47350,1,1
12,uniform,1024,120380,60190,121404,1,1
12,pair,1024,89831,44916,90855,1,1
12,exact,1024,16533,8267,17557,1,1
13,uniform,1024,75159,37580,76183,1,1
13,pair,1024,82483,41242,83507,1,1
13,exact,1024,69613,34807,70637,1,1
14,uniform,1024,9117,4559,10141,1,1
14,pair,1024,119424,59712,120448,1,1
14,exact,1024,39400,19700,40424,1,1
15,uniform,1024,22563,11282,23587,1,1
15,pair,1024,71012,35506,72036,1,1
15,exact,1024,17280,8640,18304,1,1
16,uniform,1024,88319,44160,89343,1,1
16,pair,1024,75160,37580,76184,1,1
16,exact,1024,41708,20854,42732,1,1
17,uniform,1024,56470,28235,57494,1,1
17,pair,1024,58030,29015,59054,1,1
17,exact,1024,41282,20641,42306,1,1
18,uniform,1024,104672,52336,105696,1,1
18,pair,1024,96416,48208,97440,1,1
18,exact,1024,95962,47981,96986,1,1
19,uniform,1024,120862,60431,121886,1,1
19,pair,1024,87157,43579,88181,1,1
19,exact,1024,65393,32697,66417,1,1
20,uniform,1024,108388,54194,109412,1,1
20,pair,1024,41607,20804,42631,1,1
20,exact,1024,65211,32606,66235,1,1
21,uniform,1024,71640,35820,72664,1,1
21,pair,1024,54842,27421,55866,1,1
21,exact,1024,11769,5885,12793,1,1
22,uniform,1024,122944,61472,123968,1,1
22,pair,1024,71448,35724,72472,1,1
22,exact,1024,69568,34784,70592,1,1
23,uniform,1024,128701,64351,129725,1,1
23,pair,1024,16476,8238,17500,1,1
23,exact,1024,34007,17004,35031,1,1
24,uniform,1024,86946,43473,87970,1,1
24,pair,1024,86736,43368,87760,1,1
24,exact,1024,25214,12607,26238,1,1
25,uniform,1024,73025,36513,74049,1,1
25,pair,1024,104296,52148,105320,1,1
25,exact,1024,43685,21843,44709,1,1
26,uniform,1024,5397,2699,6421,1,1
26,pair,1024,80596,40298,81620,1,1
26,exact,1024,81040,40520,82064,1,1
27,uniform,1024,56734,28367,57758,1,1
27,pair,1024,26322,13161,27346,1,1
27,exact,1024,10501,5251,11525,1,1
28,uniform,1024,41810,20905,42834,1,1
28,pair,1024,52942,26471,53966,1,1
28,exact,1024,50198,25099,51222,1,1
29,uniform,1024,128394,64197,129418,1,1
29,pair,1024,53347,26674,54371,1,1
29,exact,1024,43771,21886,44795,1,1
30,uniform,1024,122887,61444,123911,1,1
30,pair,1024,63575,31788,64599,1,1
30,exact,1024,9647,4824,10671,1,1
31,uniform,1024,110686,55343,111710,1,1
31,pair,1024,17983,8992,19007,1,1
31,exact,1024,9557,4779,10581,1,1
