name,leakage_input,channel,selector_k,modulus,polys,weight,block_length,ring_dimension,partition_size,lists,position_candidates,full_candidates,trials,seed,seconds,conditional_information_mean,conditional_information_se,conditional_information_p99,posterior_entropy_loss_mean,posterior_min_entropy_loss_mean,mean_log_rank_gain,expected_rank_gain,support_mean_log_rank_gain,support_expected_rank_gain,base_entropy_mean
base,product-values,occupancy,1,3,2,2,2,4,2,8,16,256,4096,20260810,5.410265,0.089776386,0.007906293,1.125530882,0.091583627,0.458224604,0.345534575,0.189361258,0.688452493,0.326483066,1.881839976
base,product-values,occupancy,2,3,2,2,2,4,2,8,16,256,4096,20260810,5.888423,0.026191195,0.004403522,0.644569943,0.028342420,0.268616427,0.256605156,0.098241590,0.527109008,0.174409827,1.881839976
base,product-values,occupancy,4,3,2,2,2,4,2,8,16,256,4096,20260810,5.999928,0.008807690,0.002319970,0.339070500,0.007673725,0.145735549,0.206666287,0.052088102,0.414432083,0.079690935,1.881839976
base,product-values,occupancy,8,3,2,2,2,4,2,8,16,256,4096,20260810,6.714404,0.002106217,0.001158437,0.168184040,0.001918343,0.073900888,0.180600282,0.030263640,0.338317885,0.032053294,1.881839976
longer-block,product-values,occupancy,1,3,2,2,3,6,2,8,81,1296,1024,20260810,5.517757,0.123366126,0.016559315,1.157734553,0.109063875,0.421176563,0.297206419,0.187054529,1.135518712,0.559890479,1.281662947
longer-block,product-values,occupancy,2,3,2,2,3,6,2,8,81,1296,1024,20260810,5.845993,0.022661022,0.009300534,0.631382064,0.033966690,0.253889251,0.200007876,0.091380323,0.708638621,0.237415398,1.281662947
longer-block,product-values,occupancy,4,3,2,2,3,6,2,8,81,1296,1024,20260810,6.378371,0.005669587,0.005199426,0.373869428,0.009171732,0.138210202,0.170253323,0.055983896,0.601584631,0.115755012,1.281662947
longer-block,product-values,occupancy,8,3,2,2,3,6,2,8,81,1296,1024,20260810,6.525361,0.004857141,0.002481295,0.195879567,0.002269004,0.069769643,0.144479491,0.036724873,0.511845219,0.084266333,1.281662947
larger-field,product-values,occupancy,1,5,2,2,2,4,2,8,16,4096,512,20260810,8.165070,0.082676688,0.021882655,1.160733314,0.099264197,0.551203470,0.430356315,0.218157726,0.648903654,0.295892929,2.758792319
larger-field,product-values,occupancy,2,5,2,2,2,4,2,8,16,4096,512,20260810,8.158131,0.032385963,0.013479215,0.698039089,0.032400132,0.333523024,0.387094449,0.161078139,0.533980185,0.191130437,2.758792319
larger-field,product-values,occupancy,4,5,2,2,2,4,2,8,16,4096,512,20260810,7.872476,0.000936358,0.007001683,0.328806167,0.008503711,0.175783750,0.220637310,0.020782100,0.358555457,0.033197702,2.758792319
larger-field,product-values,occupancy,8,5,2,2,2,4,2,8,16,4096,512,20260810,7.884617,0.005481928,0.003502265,0.175259420,0.002213370,0.095809420,0.273761741,0.065158586,0.382184141,0.067003700,2.758792319
larger-weight,product-values,occupancy,1,3,2,3,2,6,3,12,64,4096,512,20260810,8.981076,0.182458868,0.030352421,1.579029232,0.195843780,0.829835810,0.608643036,0.340538710,1.468887797,0.474810502,2.605488976
larger-weight,product-values,occupancy,2,3,2,3,2,6,3,12,64,4096,512,20260810,9.146717,0.114812358,0.019252556,1.334932798,0.092235905,0.515834764,0.497128704,0.251037598,1.281609751,0.390565513,2.605488976
larger-weight,product-values,occupancy,4,3,2,3,2,6,3,12,64,4096,512,20260810,9.442766,0.035074073,0.011140889,0.694987446,0.046041125,0.294911616,0.318461397,0.091712460,0.820487695,0.151040077,2.605488976
larger-weight,product-values,occupancy,8,3,2,3,2,6,3,12,64,4096,512,20260810,9.700924,0.031215700,0.007118542,0.661796476,0.029555063,0.176123354,0.293067609,0.078634934,0.749009542,0.131818522,2.605488976
