trial,selector,projection_width,buckets_visited,candidate_scores,leakage_factor_evaluations,mass_convolution_terms,pair_entries_materialized,charged_work,recovered_planted
0,uniform_projected,2,92,1024,0,0,40948,41972,1
0,exact_projected,2,67,1024,16384,4726,37762,59896,1
0,uniform_flat,2,0,1024,0,0,119418,120442,1
0,exact_flat,2,0,1024,16384,0,16517,33925,1
1,uniform_projected,2,20,1024,0,0,9085,10109,1
1,exact_projected,2,25,1024,16384,4726,14908,37042,1
1,uniform_flat,2,0,1024,0,0,45515,46539,1
1,exact_flat,2,0,1024,16384,0,10300,27708,1
2,uniform_projected,2,193,1024,0,0,88727,89751,1
2,exact_projected,2,18,1024,16384,4726,9803,31937,1
2,uniform_flat,2,0,1024,0,0,72547,73571,1
2,exact_flat,2,0,1024,16384,0,793,18201,1
3,uniform_projected,2,131,1024,0,0,63135,64159,1
3,exact_projected,2,10,1024,16384,4726,7452,29586,1
3,uniform_flat,2,0,1024,0,0,23208,24232,1
3,exact_flat,2,0,1024,16384,0,30080,47488,1
4,uniform_projected,2,112,1024,0,0,50520,51544,1
4,exact_projected,2,5,1024,16384,4726,2927,25061,1
4,uniform_flat,2,0,1024,0,0,115623,116647,1
4,exact_flat,2,0,1024,16384,0,738,18146,1
5,uniform_projected,2,100,1024,0,0,45279,46303,1
5,exact_projected,2,8,1024,16384,4726,5196,27330,1
5,uniform_flat,2,0,1024,0,0,96474,97498,1
5,exact_flat,2,0,1024,16384,0,1053,18461,1
6,uniform_projected,2,200,1024,0,0,87646,88670,1
6,exact_projected,2,35,1024,16384,4726,25274,47408,1
6,uniform_flat,2,0,1024,0,0,109426,110450,1
6,exact_flat,2,0,1024,16384,0,22450,39858,1
7,uniform_projected,2,103,1024,0,0,47253,48277,1
7,exact_projected,2,162,1024,16384,4726,83740,105874,1
7,uniform_flat,2,0,1024,0,0,75333,76357,1
7,exact_flat,2,0,1024,16384,0,4847,22255,1
8,uniform_projected,2,38,1024,0,0,16686,17710,1
8,exact_projected,2,22,1024,16384,4726,15055,37189,1
8,uniform_flat,2,0,1024,0,0,60692,61716,1
8,exact_flat,2,0,1024,16384,0,2668,20076,1
9,uniform_projected,2,112,1024,0,0,49419,50443,1
9,exact_projected,2,1,1024,16384,4726,857,22991,1
9,uniform_flat,2,0,1024,0,0,89157,90181,1
9,exact_flat,2,0,1024,16384,0,36486,53894,1
10,uniform_projected,2,264,1024,0,0,121360,122384,1
10,exact_projected,2,83,1024,16384,4726,47982,70116,1
10,uniform_flat,2,0,1024,0,0,77691,78715,1
10,exact_flat,2,0,1024,16384,0,75543,92951,1
11,uniform_projected,2,274,1024,0,0,123235,124259,1
11,exact_projected,2,1,1024,16384,4726,462,22596,1
11,uniform_flat,2,0,1024,0,0,33070,34094,1
11,exact_flat,2,0,1024,16384,0,3140,20548,1
12,uniform_projected,2,25,1024,0,0,11415,12439,1
12,exact_projected,2,166,1024,16384,4726,89789,111923,1
12,uniform_flat,2,0,1024,0,0,74502,75526,1
12,exact_flat,2,0,1024,16384,0,19087,36495,1
13,uniform_projected,2,115,1024,0,0,52660,53684,1
13,exact_projected,2,17,1024,16384,4726,10135,32269,1
13,uniform_flat,2,0,1024,0,0,117820,118844,1
13,exact_flat,2,0,1024,16384,0,15712,33120,1
14,uniform_projected,2,190,1024,0,0,86077,87101,1
14,exact_projected,2,12,1024,16384,4726,7403,29537,1
14,uniform_flat,2,0,1024,0,0,125982,127006,1
14,exact_flat,2,0,1024,16384,0,335,17743,1
15,uniform_projected,2,196,1024,0,0,89159,90183,1
15,exact_projected,2,82,1024,16384,4726,48343,70477,1
15,uniform_flat,2,0,1024,0,0,65162,66186,1
15,exact_flat,2,0,1024,16384,0,4184,21592,1
