trial,sample,selector,rank,deficiency,full_rank
0,0,uniform,256,0,1
0,0,stratified_beta_0,255,1,0
0,0,guided,255,1,0
0,0,sequential,256,0,1
0,1,uniform,256,0,1
0,1,stratified_beta_0,256,0,1
0,1,guided,256,0,1
0,1,sequential,256,0,1
1,0,uniform,256,0,1
1,0,stratified_beta_0,256,0,1
1,0,guided,255,1,0
1,0,sequential,256,0,1
1,1,uniform,256,0,1
1,1,stratified_beta_0,256,0,1
1,1,guided,256,0,1
1,1,sequential,256,0,1
2,0,uniform,256,0,1
2,0,stratified_beta_0,256,0,1
2,0,guided,256,0,1
2,0,sequential,256,0,1
2,1,uniform,256,0,1
2,1,stratified_beta_0,256,0,1
2,1,guided,256,0,1
2,1,sequential,256,0,1
3,0,uniform,255,1,0
3,0,stratified_beta_0,256,0,1
3,0,guided,256,0,1
3,0,sequential,256,0,1
3,1,uniform,256,0,1
3,1,stratified_beta_0,256,0,1
3,1,guided,256,0,1
3,1,sequential,256,0,1
4,0,uniform,256,0,1
4,0,stratified_beta_0,255,1,0
4,0,guided,256,0,1
4,0,sequential,256,0,1
4,1,uniform,256,0,1
4,1,stratified_beta_0,256,0,1
4,1,guided,256,0,1
4,1,sequential,255,1,0
5,0,uniform,256,0,1
5,0,stratified_beta_0,256,0,1
5,0,guided,256,0,1
5,0,sequential,256,0,1
5,1,uniform,256,0,1
5,1,stratified_beta_0,256,0,1
5,1,guided,256,0,1
5,1,sequential,256,0,1
6,0,uniform,256,0,1
6,0,stratified_beta_0,256,0,1
6,0,guided,256,0,1
6,0,sequential,256,0,1
6,1,uniform,256,0,1
6,1,stratified_beta_0,256,0,1
6,1,guided,256,0,1
6,1,sequential,256,0,1
7,0,uniform,256,0,1
7,0,stratified_beta_0,256,0,1
7,0,guided,256,0,1
7,0,sequential,256,0,1
7,1,uniform,256,0,1
7,1,stratified_beta_0,256,0,1
7,1,guided,256,0,1
7,1,sequential,256,0,1
8,0,uniform,256,0,1
8,0,stratified_beta_0,256,0,1
8,0,guided,256,0,1
8,0,sequential,256,0,1
8,1,uniform,256,0,1
8,1,stratified_beta_0,256,0,1
8,1,guided,256,0,1
8,1,sequential,256,0,1
9,0,uniform,256,0,1
9,0,stratified_beta_0,256,0,1
9,0,guided,256,0,1
9,0,sequential,256,0,1
9,1,uniform,256,0,1
9,1,stratified_beta_0,256,0,1
9,1,guided,256,0,1
9,1,sequential,256,0,1
10,0,uniform,256,0,1
10,0,stratified_beta_0,256,0,1
10,0,guided,256,0,1
10,0,sequential,256,0,1
10,1,uniform,256,0,1
10,1,stratified_beta_0,256,0,1
10,1,guided,256,0,1
10,1,sequential,256,0,1
11,0,uniform,256,0,1
11,0,stratified_beta_0,256,0,1
11,0,guided,256,0,1
11,0,sequential,256,0,1
11,1,uniform,256,0,1
11,1,stratified_beta_0,256,0,1
11,1,guided,256,0,1
11,1,sequential,256,0,1
12,0,uniform,256,0,1
12,0,stratified_beta_0,256,0,1
12,0,guided,256,0,1
12,0,sequential,256,0,1
12,1,uniform,256,0,1
12,1,stratified_beta_0,256,0,1
12,1,guided,256,0,1
12,1,sequential,256,0,1
13,0,uniform,256,0,1
13,0,stratified_beta_0,256,0,1
13,0,guided,256,0,1
13,0,sequential,256,0,1
13,1,uniform,256,0,1
13,1,stratified_beta_0,256,0,1
13,1,guided,256,0,1
13,1,sequential,256,0,1
14,0,uniform,256,0,1
14,0,stratified_beta_0,256,0,1
14,0,guided,256,0,1
14,0,sequential,256,0,1
14,1,uniform,256,0,1
14,1,stratified_beta_0,256,0,1
14,1,guided,256,0,1
14,1,sequential,256,0,1
15,0,uniform,256,0,1
15,0,stratified_beta_0,256,0,1
15,0,guided,256,0,1
15,0,sequential,256,0,1
15,1,uniform,256,0,1
15,1,stratified_beta_0,256,0,1
15,1,guided,256,0,1
15,1,sequential,256,0,1
16,0,uniform,256,0,1
16,0,stratified_beta_0,256,0,1
16,0,guided,256,0,1
16,0,sequential,256,0,1
16,1,uniform,256,0,1
16,1,stratified_beta_0,256,0,1
16,1,guided,256,0,1
16,1,sequential,256,0,1
17,0,uniform,256,0,1
17,0,stratified_beta_0,256,0,1
17,0,guided,255,1,0
17,0,sequential,256,0,1
17,1,uniform,255,1,0
17,1,stratified_beta_0,256,0,1
17,1,guided,255,1,0
17,1,sequential,256,0,1
18,0,uniform,256,0,1
18,0,stratified_beta_0,256,0,1
18,0,guided,256,0,1
18,0,sequential,256,0,1
18,1,uniform,256,0,1
18,1,stratified_beta_0,255,1,0
18,1,guided,256,0,1
18,1,sequential,256,0,1
19,0,uniform,256,0,1
19,0,stratified_beta_0,256,0,1
19,0,guided,256,0,1
19,0,sequential,256,0,1
19,1,uniform,255,1,0
19,1,stratified_beta_0,256,0,1
19,1,guided,256,0,1
19,1,sequential,256,0,1
20,0,uniform,256,0,1
20,0,stratified_beta_0,255,1,0
20,0,guided,256,0,1
20,0,sequential,256,0,1
20,1,uniform,256,0,1
20,1,stratified_beta_0,256,0,1
20,1,guided,256,0,1
20,1,sequential,256,0,1
21,0,uniform,256,0,1
21,0,stratified_beta_0,256,0,1
21,0,guided,256,0,1
21,0,sequential,256,0,1
21,1,uniform,256,0,1
21,1,stratified_beta_0,256,0,1
21,1,guided,256,0,1
21,1,sequential,256,0,1
22,0,uniform,256,0,1
22,0,stratified_beta_0,256,0,1
22,0,guided,256,0,1
22,0,sequential,256,0,1
22,1,uniform,256,0,1
22,1,stratified_beta_0,256,0,1
22,1,guided,255,1,0
22,1,sequential,256,0,1
23,0,uniform,256,0,1
23,0,stratified_beta_0,256,0,1
23,0,guided,256,0,1
23,0,sequential,256,0,1
23,1,uniform,256,0,1
23,1,stratified_beta_0,256,0,1
23,1,guided,256,0,1
23,1,sequential,256,0,1
24,0,uniform,256,0,1
24,0,stratified_beta_0,256,0,1
24,0,guided,256,0,1
24,0,sequential,256,0,1
24,1,uniform,256,0,1
