trial,sample,selector,rank,deficiency,full_rank
0,0,uniform,512,0,1
0,0,stratified_beta_0,512,0,1
0,0,guided,512,0,1
0,1,uniform,512,0,1
0,1,stratified_beta_0,512,0,1
0,1,guided,512,0,1
1,0,uniform,512,0,1
1,0,stratified_beta_0,512,0,1
1,0,guided,512,0,1
1,1,uniform,512,0,1
1,1,stratified_beta_0,512,0,1
1,1,guided,512,0,1
2,0,uniform,512,0,1
2,0,stratified_beta_0,512,0,1
2,0,guided,512,0,1
2,1,uniform,512,0,1
2,1,stratified_beta_0,512,0,1
2,1,guided,512,0,1
3,0,uniform,512,0,1
3,0,stratified_beta_0,512,0,1
3,0,guided,512,0,1
3,1,uniform,512,0,1
3,1,stratified_beta_0,512,0,1
3,1,guided,512,0,1
4,0,uniform,512,0,1
4,0,stratified_beta_0,512,0,1
4,0,guided,512,0,1
4,1,uniform,512,0,1
4,1,stratified_beta_0,512,0,1
4,1,guided,512,0,1
5,0,uniform,512,0,1
5,0,stratified_beta_0,512,0,1
5,0,guided,512,0,1
5,1,uniform,512,0,1
5,1,stratified_beta_0,512,0,1
5,1,guided,512,0,1
6,0,uniform,512,0,1
6,0,stratified_beta_0,512,0,1
6,0,guided,512,0,1
6,1,uniform,512,0,1
6,1,stratified_beta_0,512,0,1
6,1,guided,512,0,1
7,0,uniform,512,0,1
7,0,stratified_beta_0,512,0,1
7,0,guided,512,0,1
7,1,uniform,512,0,1
7,1,stratified_beta_0,512,0,1
7,1,guided,512,0,1
8,0,uniform,512,0,1
8,0,stratified_beta_0,512,0,1
8,0,guided,512,0,1
8,1,uniform,512,0,1
8,1,stratified_beta_0,512,0,1
8,1,guided,512,0,1
9,0,uniform,512,0,1
9,0,stratified_beta_0,512,0,1
9,0,guided,512,0,1
9,1,uniform,512,0,1
9,1,stratified_beta_0,512,0,1
9,1,guided,512,0,1
10,0,uniform,512,0,1
10,0,stratified_beta_0,512,0,1
10,0,guided,512,0,1
10,1,uniform,512,0,1
10,1,stratified_beta_0,512,0,1
10,1,guided,512,0,1
11,0,uniform,512,0,1
11,0,stratified_beta_0,512,0,1
11,0,guided,512,0,1
11,1,uniform,512,0,1
11,1,stratified_beta_0,512,0,1
11,1,guided,512,0,1
12,0,uniform,512,0,1
12,0,stratified_beta_0,512,0,1
12,0,guided,512,0,1
12,1,uniform,512,0,1
12,1,stratified_beta_0,512,0,1
12,1,guided,512,0,1
13,0,uniform,512,0,1
13,0,stratified_beta_0,512,0,1
13,0,guided,512,0,1
13,1,uniform,512,0,1
13,1,stratified_beta_0,512,0,1
13,1,guided,512,0,1
14,0,uniform,512,0,1
14,0,stratified_beta_0,512,0,1
14,0,guided,512,0,1
14,1,uniform,512,0,1
14,1,stratified_beta_0,512,0,1
14,1,guided,512,0,1
15,0,uniform,512,0,1
15,0,stratified_beta_0,512,0,1
15,0,guided,512,0,1
15,1,uniform,512,0,1
15,1,stratified_beta_0,512,0,1
15,1,guided,512,0,1
16,0,uniform,512,0,1
16,0,stratified_beta_0,512,0,1
16,0,guided,512,0,1
16,1,uniform,512,0,1
16,1,stratified_beta_0,512,0,1
16,1,guided,512,0,1
17,0,uniform,512,0,1
17,0,stratified_beta_0,512,0,1
17,0,guided,512,0,1
17,1,uniform,512,0,1
17,1,stratified_beta_0,512,0,1
17,1,guided,512,0,1
18,0,uniform,511,1,0
18,0,stratified_beta_0,512,0,1
18,0,guided,512,0,1
18,1,uniform,512,0,1
18,1,stratified_beta_0,512,0,1
18,1,guided,512,0,1
19,0,uniform,512,0,1
19,0,stratified_beta_0,512,0,1
19,0,guided,512,0,1
19,1,uniform,512,0,1
19,1,stratified_beta_0,512,0,1
19,1,guided,512,0,1
20,0,uniform,512,0,1
20,0,stratified_beta_0,512,0,1
20,0,guided,512,0,1
20,1,uniform,512,0,1
20,1,stratified_beta_0,512,0,1
20,1,guided,512,0,1
21,0,uniform,512,0,1
21,0,stratified_beta_0,512,0,1
21,0,guided,512,0,1
21,1,uniform,512,0,1
21,1,stratified_beta_0,512,0,1
21,1,guided,512,0,1
22,0,uniform,512,0,1
22,0,stratified_beta_0,512,0,1
22,0,guided,512,0,1
22,1,uniform,512,0,1
22,1,stratified_beta_0,512,0,1
22,1,guided,512,0,1
23,0,uniform,512,0,1
23,0,stratified_beta_0,512,0,1
23,0,guided,512,0,1
23,1,uniform,512,0,1
23,1,stratified_beta_0,512,0,1
23,1,guided,512,0,1
24,0,uniform,512,0,1
24,0,stratified_beta_0,512,0,1
24,0,guided,512,0,1
24,1,uniform,512,0,1
24,1,stratified_beta_0,512,0,1
24,1,guided,512,0,1
25,0,uniform,512,0,1
25,0,stratified_beta_0,512,0,1
25,0,guided,512,0,1
25,1,uniform,512,0,1
25,1,stratified_beta_0,512,0,1
25,1,guided,512,0,1
26,0,uniform,512,0,1
26,0,stratified_beta_0,512,0,1
26,0,guided,512,0,1
26,1,uniform,512,0,1
26,1,stratified_beta_0,512,0,1
26,1,guided,512,0,1
27,0,uniform,512,0,1
27,0,stratified_beta_0,512,0,1
27,0,guided,512,0,1
27,1,uniform,512,0,1
27,1,stratified_beta_0,512,0,1
27,1,guided,512,0,1
28,0,uniform,512,0,1
28,0,stratified_beta_0,512,0,1
28,0,guided,512,0,1
28,1,uniform,512,0,1
28,1,stratified_beta_0,512,0,1
28,1,guided,512,0,1
29,0,uniform,512,0,1
29,0,stratified_beta_0,512,0,1
29,0,guided,512,0,1
29,1,uniform,512,0,1
29,1,stratified_beta_0,512,0,1
29,1,guided,512,0,1
30,0,uniform,512,0,1
30,0,stratified_beta_0,512,0,1
30,0,guided,512,0,1
30,1,uniform,512,0,1
30,1,stratified_beta_0,512,0,1
30,1,guided,512,0,1
31,0,uniform,512,0,1
31,0,stratified_beta_0,512,0,1
31,0,guided,512,0,1
31,1,uniform,512,0,1
31,1,stratified_beta_0,512,0,1
31,1,guided,512,0,1
32,0,uniform,512,0,1
32,0,stratified_beta_0,512,0,1
32,0,guided,512,0,1
32,1,uniform,512,0,1
32,1,stratified_beta_0,512,0,1
32,1,guided,512,0,1
33,0,uniform,512,0,1
33,0,stratified_beta_0,512,0,1
33,0,guided,512,0,1
33,1,uniform,512,0,1
33,1,stratified_beta_0,512,0,1
33,1,guided,512,0,1
34,0,uniform,512,0,1
34,0,stratified_beta_0,512,0,1
34,0,guided,512,0,1
34,1,uniform,512,0,1
34,1,stratified_beta_0,512,0,1
34,1,guided,512,0,1
35,0,uniform,512,0,1
35,0,stratified_beta_0,512,0,1
35,0,guided,512,0,1
35,1,uniform,512,0,1
35,1,stratified_beta_0,512,0,1
35,1,guided,512,0,1
36,0,uniform,512,0,1
