trial,independent_success,sequential_success,independent_log_gain,sequential_log_gain
0,4.725891886186231e-08,1.19332519818222e-07,-0.33483813381741356,1.0014905874321123
1,7.77776634007769e-08,1.259392087649451e-07,0.38393113483049746,1.0792308442974594
2,6.650783645824644e-08,9.026621635587797e-08,0.15809958081368336,0.5987613768299695
3,1.0489956094208444e-07,1.9899912179216007e-07,0.8155119753051387,1.7392653997790397
4,4.940109743425127e-08,8.639047427971129e-08,-0.27088166778760936,0.5354474853841324
5,8.297645550026274e-08,1.28040969555717e-07,0.47727727191867686,1.1031088422451454
6,5.171243620933511e-08,7.9107310532296e-08,-0.2049134862958759,0.40838626532535827
7,2.2978565541123572e-07,3.1870341190228687e-07,1.9467920749691459,2.4187177998623746
8,3.285887820223329e-08,3.860637827667e-08,-0.8591415313885378,-0.6265855398972064
9,6.736505384083591e-08,8.203178795182037e-08,0.17657561679958178,0.46075831445729776
10,1.0873713753532634e-07,9.24195895764594e-08,0.8673480911270097,0.6327739235961829
11,1.5478280746569454e-07,1.935890493858421e-07,1.3767485685016432,1.699500682804068
12,1.195199994204429e-07,9.870392891415896e-08,1.003755382032569,0.7276827532642294
13,7.313019432724567e-08,1.20670371591043e-07,0.2950424365735884,1.0175748279059214
14,1.2865812650358297e-07,2.5635168965814754e-07,1.1100459214738123,2.104627742606553
15,2.996459829744163e-07,6.61795533191052e-07,2.329762369193773,3.472888889958007
16,4.480245119645385e-08,8.010897667250489e-08,-0.41184709306093126,0.4265391548869566
17,2.0005001440280251e-07,2.9534243938525743e-07,1.7468640683402654,2.3088920159698105
18,1.687218639513624e-07,2.0675393877094171e-07,1.5011502742648837,1.7944181495437945
19,7.189550134577604e-08,1.6148255183766447e-07,0.2704767418968608,1.4378816261741605
20,1.1201958679174142e-07,1.6411142219058885e-07,0.910254347506271,1.4611789900224395
21,3.460847682840556e-08,7.052344604765062e-08,-0.7842993113968113,0.24267821292715652
22,2.8234876047759924e-08,3.965404078826668e-08,-1.077946461254978,-0.5879568735438916
23,6.876079789575061e-08,1.1903543964514555e-07,0.2061615267520338,0.9978944974599564
24,4.174026104103267e-08,5.3989318770491295e-08,-0.5139851360466317,-0.14275074591673587
25,8.895014873059066e-08,1.1312141586943958e-07,0.5775722586780354,0.9243754184656297
26,3.3355068527148525e-08,4.919433253101596e-08,-0.837518753809757,-0.27693264069628043
27,5.060756468336587e-08,1.1673858708949315e-07,-0.2360717078655874,0.9697848479998115
28,1.0659348115639504e-07,1.657520527928132e-07,0.8386225469539106,1.4755300736115302
29,1.4237473203141747e-07,2.59968380837842e-07,1.2561964623763977,2.124839499109708
30,4.11055978832341e-08,7.608302279468582e-08,-0.5360898812881238,0.3521498068192237
31,1.3186848381167425e-07,1.7450709706802198e-07,1.1456031416094383,1.5497890467026636
