selector,beta,p,ell,list_log2,collision_list_log2,iteration_log2,mean_inverse_success_log2,expected_work_log2,gain_vs_uniform_prange_bits
leakage,0.0,0,0,0.0,0.0,0.0,128.0,128.0,0.0
leakage,0.25,0,0,0.0,0.0,0.0,127.74832790627768,127.74832790627768,0.2516720937223198
leakage,0.5,0,0,0.0,0.0,0.0,127.55832135448178,127.55832135448178,0.44167864551822333
leakage,1.0,0,0,0.0,0.0,0.0,127.3599492500004,127.3599492500004,0.6400507499996024
leakage,2.0,0,0,0.0,0.0,0.0,127.663750715795,127.663750715795,0.336249284204996
leakage,4.0,0,0,0.0,0.0,0.0,130.87009848540455,130.87009848540455,-2.8700984854045544
leakage,8.0,0,0,0.0,0.0,0.0,146.25479169253788,146.25479169253788,-18.25479169253788
uniform,0.0,0,0,0.0,0.0,0.0,128.0,128.0,0.0
leakage,0.0,0,1,0.0,-16.00002201361136,0.0,128.00140957025468,128.00140957025468,-0.0014095702546796929
leakage,0.25,0,1,0.0,-16.00002201361136,0.0,127.74973747653236,127.74973747653236,0.2502625234676401
leakage,0.5,0,1,0.0,-16.00002201361136,0.0,127.55973092473646,127.55973092473646,0.44026907526354364
leakage,1.0,0,1,0.0,-16.00002201361136,0.0,127.36135882025508,127.36135882025508,0.6386411797449227
leakage,2.0,0,1,0.0,-16.00002201361136,0.0,127.66516028604967,127.66516028604967,0.3348397139503305
leakage,4.0,0,1,0.0,-16.00002201361136,0.0,130.87150805565923,130.87150805565923,-2.871508055659234
leakage,8.0,0,1,0.0,-16.00002201361136,0.0,146.25620126279253,146.25620126279253,-18.25620126279253
uniform,0.0,0,1,0.0,-16.00002201361136,0.0,128.00140957025468,128.00140957025468,-0.0014095702546796929
leakage,0.0,0,2,0.0,-32.00004402722272,0.0,128.00281914050933,128.00281914050933,-0.002819140509330964
leakage,0.25,0,2,0.0,-32.00004402722272,0.0,127.75114704678703,127.75114704678703,0.24885295321297463
leakage,0.5,0,2,0.0,-32.00004402722272,0.0,127.56114049499112,127.56114049499112,0.43885950500887816
leakage,1.0,0,2,0.0,-32.00004402722272,0.0,127.36276839050974,127.36276839050974,0.6372316094902573
leakage,2.0,0,2,0.0,-32.00004402722272,0.0,127.66656985630435,127.66656985630435,0.3334301436956508
leakage,4.0,0,2,0.0,-32.00004402722272,0.0,130.8729176259139,130.8729176259139,-2.8729176259139138
leakage,8.0,0,2,0.0,-32.00004402722272,0.0,146.2576108330472,146.2576108330472,-18.25761083304721
uniform,0.0,0,2,0.0,-32.00004402722272,0.0,128.00281914050933,128.00281914050933,-0.002819140509330964
leakage,0.0,0,3,0.0,-48.000066040834085,0.0,128.004228710764,128.004228710764,-0.004228710764010657
