w,n,d,trials,failures,seed
2,16,16,1048576,64838,9000
2,16,20,1048576,18748,9001
2,16,24,1048576,6682,9002
2,16,28,1048576,2943,9003
2,16,32,1048576,1513,9004
2,16,40,1048576,483,9005
2,16,48,1048576,207,9006
2,16,64,16777216,866,12000
2,16,80,16777216,316,12001
2,16,96,16777216,136,12002
2,16,112,16777216,86,12003
2,16,128,16777216,54,12004
2,64,64,1048576,105025,9008
2,64,80,1048576,17628,9009
2,64,96,1048576,4464,9010
2,64,112,1048576,1519,9011
2,64,128,1048576,663,9012
2,64,160,1048576,198,9013
2,64,192,1048576,65,9014
2,64,256,1048576,12,9015
2,128,128,1048576,121344,9016
2,128,160,1048576,14200,9017
2,128,192,1048576,3079,9018
2,128,224,1048576,984,9019
2,128,256,1048576,368,9020
2,128,320,1048576,105,9021
2,128,384,1048576,39,9022
2,128,512,1048576,8,9023
3,8,5,1048576,141,10000
3,8,6,1048576,15,10001
3,8,7,1048576,6,10002
3,8,8,1048576,2,10003
3,8,9,1048576,1,10004
3,8,10,1048576,0,10005
3,12,6,1048576,1073,10006
3,12,7,1048576,120,10007
3,12,8,1048576,11,10008
3,12,9,1048576,2,10009
3,12,10,1048576,2,10010
3,12,11,1048576,0,10011
3,12,12,1048576,0,10012
3,16,7,1048576,6930,10013
3,16,8,1048576,574,10014
3,16,9,1048576,70,10015
3,16,10,16777216,188,11000
3,16,11,16777216,47,11001
3,16,12,16777216,14,11002
3,16,13,16777216,6,11003
3,16,14,16777216,4,11004
3,16,12,67108864,68,19000
3,16,13,67108864,23,19001
3,16,14,67108864,6,19002
3,20,8,1048576,33997,10020
3,20,9,1048576,2856,10021
3,20,10,1048576,290,10022
3,20,11,1048576,37,10023
3,20,12,1048576,8,10024
3,20,13,1048576,1,10025
3,20,14,1048576,0,10026
3,24,10,1048576,11977,10027
3,24,11,1048576,1230,10028
3,24,12,1048576,137,10029
3,24,13,1048576,21,10030
3,24,14,1048576,5,10031
3,24,15,1048576,2,10032
3,24,16,1048576,1,10033
3,32,12,1048576,132331,18000
3,32,13,1048576,16547,18001
3,32,14,1048576,1958,18002
3,32,15,1048576,215,18003
3,32,16,1048576,27,18004
3,32,16,16777216,506,32
3,64,24,1048576,128142,18005
3,64,26,1048576,4792,18006
3,64,28,1048576,127,18007
3,64,30,1048576,4,18008
3,64,32,1048576,0,18009
3,64,32,16777216,2,33
3,128,48,262144,24077,148
3,128,50,262144,1898,18010
3,128,52,262144,98,152
3,128,54,262144,2,18011
