"t","w","d","c","policy","evictions","conditioned_samples","exact_initial_overflow","exact_initial_overflow_log2","conditional_failure","conditional_failure_log2","failure_estimate","failure_estimate_log2","standard_error","relative_standard_error","log2_standard_error","failure_effective_sample_size","nonzero_failure_matrices","structural_failure_matrices"
"16","4","16","0","bfs","2","300000","1.1579794776080186e-05","-16.398030789171404","0.0","-inf","0.0","-inf","0.0","inf","inf","0.0","0","0"
"16","4","16","0","bfs","3","300000","1.1579794776080186e-05","-16.398030789171404","0.0","-inf","0.0","-inf","0.0","inf","inf","0.0","0","0"
"16","4","16","0","bfs","4","300000","1.1579794776080186e-05","-16.398030789171404","0.0","-inf","0.0","-inf","0.0","inf","inf","0.0","0","0"
"16","4","16","0","bfs","5","300000","1.1579794776080186e-05","-16.398030789171404","0.0","-inf","0.0","-inf","0.0","inf","inf","0.0","0","0"
"16","4","16","0","bfs","6","300000","1.1579794776080186e-05","-16.398030789171404","0.0","-inf","0.0","-inf","0.0","inf","inf","0.0","0","0"
"16","3","128","0","biased","4","100000","4.750947452730847e-08","-24.32720950901271","0.000745","-10.39047195397465","3.539455852284481e-11","-34.71768146298736","1.4479357400840169e-12","0.04090842775025635","0.059018385845859285","594.0066889632106","595","0"
"16","3","128","0","biased","8","100000","4.750947452730847e-08","-24.32720950901271","4.65625e-05","-14.39047195397465","2.2121599076778005e-12","-38.71768146298736","9.049598375525105e-14","0.04090842775025635","0.059018385845859285","594.0066889632106","595","0"
"16","3","128","0","biased","12","100000","4.750947452730847e-08","-24.32720950901271","2.91015625e-06","-18.39047195397465","1.3825999422986253e-13","-42.71768146298736","5.655998984703191e-15","0.04090842775025635","0.059018385845859285","594.0066889632106","595","0"
"16","3","128","0","biased","16","100000","4.750947452730847e-08","-24.32720950901271","1.81884765625e-07","-22.39047195397465","8.641249639366408e-15","-46.71768146298736","3.5349993654394943e-16","0.04090842775025635","0.059018385845859285","594.0066889632106","595","0"
"16","3","128","0","biased","18","100000","4.750947452730847e-08","-24.32720950901271","4.547119140625e-08","-24.39047195397465","2.160312409841602e-15","-48.71768146298736","8.837498413598736e-17","0.04090842775025635","0.059018385845859285","594.0066889632106","595","0"
"16","3","128","0","biased","20","100000","4.750947452730847e-08","-24.32720950901271","1.13677978515625e-08","-26.39047195397465","5.400781024604005e-16","-50.71768146298736","2.209374603399684e-17","0.04090842775025635","0.059018385845859285","594.0066889632106","595","0"
"16","3","32","2","biased","4","200000","1.4929052032566077e-10","-32.641158388982944","0.002388125","-8.7099059320793","3.565244238527186e-13","-41.35106432106224","5.954114862832791e-15","0.01670044031904096","0.02409364242894249","3522.3259348612787","3708","0"
"16","3","32","2","biased","8","200000","1.4929052032566077e-10","-32.641158388982944","0.000148203125","-12.720136511025336","2.2125321645138945e-14","-45.361294900008275","5.466873990405264e-16","0.024708675779212305","0.03564708401360284","1624.6541760722348","3500","0"
"16","3","32","2","biased","10","300000","1.4929052032566077e-10","-32.641158388982944","3.9954427083333336e-05","-14.611285107020457","5.964817208584507e-15","-47.2524434960034","2.289244533616584e-16","0.038379123006853005","0.055369370435654354","677.3757486376144","5228","0"
"16","3","32","2","biased","12","300000","1.4929052032566077e-10","-32.641158388982944","1.1769205729166667e-05","-16.374623514235303","1.7570308471270395e-15","-49.01578190321825","1.481994620967994e-16","0.08434653400600431","0.12168632632663473","140.49586068469998","5228","0"
"16","3","40","2","biased","6","150000","8.529527532561623e-12","-36.77067130862979","0.00044291666666666665","-11.140677093626863","3.777869902963752e-15","-47.91134840225665","8.859805202844662e-17","0.023451853638194672","0.03383387294347725","1796.4531001589826","2064","0"
"16","3","40","2","biased","8","150000","8.529527532561623e-12","-36.77067130862979","0.0001134375","-13.105814736441062","9.67568279474959e-16","-49.87648604507085","2.8119074137562305e-17","0.02906159155281613","0.04192701401358842","1174.7607726597325","2063","0"
"16","3","48","2","biased","4","150000","8.2762653008889e-13","-40.136085341099744","0.0015225","-9.35934205653048","1.260061392060335e-15","-49.49542739763022","2.9862485733261886e-17","0.02369923078464735","0.03419076272589379","1759.5830258302583","1800","0"
"16","3","48","2","biased","6","150000","8.2762653008889e-13","-40.136085341099744","0.00037145833333333334","-11.394511987532972","3.0742877148926893e-16","-51.530597328632716","7.443804788449611e-18","0.02421310390823145","0.0349321249329347","1686.5193633952254","1757","0"
"16","3","50","2","biased","2","200000","4.913108647992687e-13","-40.888429090480344","0.0109","-6.519528054772523","5.355288426312029e-15","-47.407957145252865","8.055263667481232e-17","0.015041699020175029","0.021700584582950894","4324.294813466788","4342","18"
"16","3","52","2","biased","2","300000","2.977766494681512e-13","-41.610834605933015","0.010483333333333334","-6.5757586733913165","3.1216918752577853e-15","-48.186593279324335","3.915426532102708e-17","0.012542642543090123","0.01809520819655906","6224.685336689742","6257","33"
"16","3","56","2","biased","2","150000","1.1570187999533433e-13","-42.974652927103186","0.009853333333333334","-6.665172421011817","1.140049190887361e-15","-49.639825348115","2.0861186213657746e-17","0.01829849657401219","0.026399150263051074","2928.2627345844503","2942","14"
"16","3","56","2","biased","3","150000","1.1570187999533433e-13","-42.974652927103186","0.004978333333333334","-7.650121452847177","5.760025259101061e-16","-50.62477437995036","1.0722018791560049e-17","0.018614534327985537","0.026855096363442108","2831.535702951444","2942","12"
"16","3","56","2","biased","4","150000","1.1570187999533433e-13","-42.974652927103186","0.0013616666666666666","-9.520410707012285","1.5754739326031357e-16","-52.49506363411547","3.93572024347202e-18","0.024981182881071724","0.036040228658062445","1585.4845605700712","1618","0"
"16","3","64","2","biased","2","150000","2.1125627088552715e-14","-45.42799916174457","0.008396666666666667","-6.8959675684237265","1.7738484878688097e-16","-52.3239667301683","3.518623294644633e-18","0.019836098284087854","0.028617440625039625","2499.157542339504","2509","10"
"16","3","64","2","biased","3","150000","2.1125627088552715e-14","-45.42799916174457","0.0042316666666666666","-7.8845582955104625","8.93966119630589e-17","-53.31255745725504","1.7994853737285865e-18","0.02012923458969768","0.02904034691944743","2428.0681732580038","2509","9"
