t,w,d,c,policy,schedule,evictions,trials,failures,failure_rate,failure_log2,failure_ci95_low,failure_ci95_high,exact_waterfall_failure,exact_waterfall_failure_log2,batch_failure_log2,batch_ci95_high_log2,mean_unplaced,p95_unplaced,output_columns,local_expansion_N,bin_solver_calls,index_bits,waterfall_pair_tests,main_one_hot_bits,repair_steps,repair_scan_units,rough_repair_index_bit_ops,optimized_repair_scan_units,rough_optimized_repair_index_bit_ops
16,3,6,0,waterfall,none,0,50000,45076,0.90152,-0.14956859703922182,0.8988773630468027,0.9041009447911278,0.9008951592246401,-0.15056887127621466,0.0,0.0,1.57066,3,18,3,3,3,360,288,0,0,0,0,0
16,3,6,0,biased,global,2,50000,37485,0.7497,-0.41561469274158935,0.7458839437175244,0.7534776907393677,0.9008951592246401,-0.15056887127621466,0.0,0.0,1.16074,3,18,3,3,3,360,288,2,96,576,48,288
16,3,6,0,uniform,global,2,50000,40044,0.80088,-0.32034200253333606,0.7973566517115596,0.804357119114991,0.9008951592246401,-0.15056887127621466,0.0,0.0,1.2992,3,18,3,3,3,360,288,2,96,576,48,288
16,3,6,0,biased,global,4,50000,29648,0.59296,-0.7539933084095458,0.5886468166506137,0.5972589003662573,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.84296,2,18,3,3,3,360,288,4,192,1152,192,1152
16,3,6,0,uniform,global,4,50000,32120,0.6424,-0.6384562020321349,0.6381880921087619,0.6465900286227615,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.9338,2,18,3,3,3,360,288,4,192,1152,192,1152
16,3,6,0,biased,global,8,50000,18639,0.37278,-1.4236036347739875,0.3685515503781902,0.3770279965356832,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.48618,2,18,3,3,3,360,288,8,384,2304,384,2304
16,3,6,0,uniform,global,8,50000,20143,0.40286,-1.3116495275900957,0.39856851436769236,0.4071664108580084,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.52962,2,18,3,3,3,360,288,8,384,2304,384,2304
16,3,6,0,biased,global,16,50000,10689,0.21378,-2.225801205582356,0.2102085506812766,0.2173954260337749,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.26652,1,18,3,3,3,360,288,16,768,4608,768,4608
16,3,6,0,uniform,global,16,50000,11140,0.2228,-2.1661788622094176,0.2191739424073958,0.22646864841579017,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.2771,1,18,3,3,3,360,288,16,768,4608,768,4608
16,3,6,0,biased,global,32,50000,6936,0.13872,-2.8497522912149766,0.13571800780318222,0.14177750162178399,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.16806,1,18,3,3,3,360,288,32,1536,9216,1536,9216
16,3,6,0,uniform,global,32,50000,7092,0.14184,-2.817663653538123,0.13880944460867026,0.14492558543906528,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.17118,1,18,3,3,3,360,288,32,1536,9216,1536,9216
16,3,6,0,oracle,none,0,50000,5118,0.10236,-3.2882760423973654,0.09973354926370478,0.10504754674975725,0.9008951592246401,-0.15056887127621466,0.0,0.0,0.11766,1,18,3,3,3,360,288,0,0,0,0,0
16,3,6,1,waterfall,none,0,50000,25843,0.51686,-0.9521545390235284,0.512478752424159,0.5212386570950369,0.5155499940412143,-0.9558157591308301,0.0,0.0,1.58342,3,19,4,3,3,360,288,0,0,0,0,0
16,3,6,1,biased,global,2,50000,16804,0.33608,-1.5731234039502944,0.3319523327722281,0.34023285296996747,0.5155499940412143,-0.9558157591308301,0.0,0.0,1.31998,3,19,4,3,3,360,288,2,96,576,48,288
16,3,6,1,uniform,global,2,50000,19934,0.39868,-1.3266968613217238,0.3943962535664608,0.40297931390181185,0.5155499940412143,-0.9558157591308301,0.0,0.0,1.41108,3,19,4,3,3,360,288,2,96,576,48,288
16,3,6,1,biased,global,4,50000,10759,0.21518,-2.216384102688436,0.21159990822838065,0.21880385338150332,0.5155499940412143,-0.9558157591308301,0.0,0.0,1.15932,2,19,4,3,3,360,288,4,192,1152,192,1152
16,3,6,1,uniform,global,4,50000,12442,0.24884,-2.0067096835215725,0.24506982593059398,0.2526487639364745,0.5155499940412143,-0.9558157591308301,0.0,0.0,1.2015,2,19,4,3,3,360,288,4,192,1152,192,1152
16,3,6,1,biased,global,8,50000,5163,0.10326,-3.275646591675452,0.10062316518227216,0.10595779254929641,0.5155499940412143,-0.9558157591308301,0.0,0.0,1.02128,2,19,4,3,3,360,288,8,384,2304,384,2304
